company,bean_origin_bar,ref,review_year,company_location,rating,bean_type,broad_bean_origin,cocoa_percent_clean,rating_outlier,cocoa_percent_clean_outlier
A. Morin,Agua Grande,1876,2016,France,3.75,,Sao Tome,63.0,False,False
A. Morin,Kpime,1676,2015,France,2.75,,Togo,70.0,False,False
A. Morin,Atsane,1676,2015,France,3.0,,Togo,70.0,False,False
A. Morin,Akata,1680,2015,France,3.5,,Togo,70.0,False,False
A. Morin,Quilla,1704,2015,France,3.5,,Peru,70.0,False,False
A. Morin,Carenero,1315,2014,France,2.75,Criollo,Venezuela,70.0,False,False
A. Morin,Cuba,1315,2014,France,3.5,,Cuba,70.0,False,False
A. Morin,Sur Del Lago,1315,2014,France,3.5,Criollo,Venezuela,70.0,False,False
A. Morin,Puerto Cabello,1319,2014,France,3.75,Criollo,Venezuela,70.0,False,False
A. Morin,Pablino,1319,2014,France,4.0,,Peru,70.0,False,False
A. Morin,Panama,1011,2013,France,2.75,,Panama,70.0,False,False
A. Morin,Madagascar,1011,2013,France,3.0,Criollo,Madagascar,70.0,False,False
A. Morin,Brazil,1011,2013,France,3.25,,Brazil,70.0,False,False
A. Morin,Equateur,1011,2013,France,3.75,,Ecuador,70.0,False,False
A. Morin,Colombie,1015,2013,France,2.75,,Colombia,70.0,False,False
A. Morin,Birmanie,1015,2013,France,3.0,,Burma,70.0,False,False
A. Morin,Papua New Guinea,1015,2013,France,3.25,,Papua New Guinea,70.0,False,False
A. Morin,Chuao,1015,2013,France,4.0,Trinitario,Venezuela,70.0,False,False
A. Morin,Piura,1019,2013,France,3.25,,Peru,70.0,False,False
A. Morin,Chanchamayo Province,1019,2013,France,3.5,,Peru,70.0,False,False
A. Morin,Chanchamayo Province,1019,2013,France,4.0,,Peru,63.0,False,False
A. Morin,Bolivia,797,2012,France,3.5,,Bolivia,70.0,False,False
A. Morin,Peru,797,2012,France,3.75,,Peru,63.0,False,False
Acalli,"Chulucanas, El Platanal",1462,2015,USA,3.75,,Peru,70.0,False,False
Acalli,"Tumbes, Norandino",1470,2015,USA,3.75,Criollo,Peru,70.0,False,False
Adi,Vanua Levu,705,2011,Fiji,2.75,Trinitario,Fiji,60.0,False,False
Adi,"Vanua Levu, Toto-A",705,2011,Fiji,3.25,Trinitario,Fiji,80.0,False,False
Adi,Vanua Levu,705,2011,Fiji,3.5,Trinitario,Fiji,88.0,False,False
Adi,"Vanua Levu, Ami-Ami-Ca",705,2011,Fiji,3.5,Trinitario,Fiji,72.0,False,False
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,Ecuador,2.75,Forastero (Arriba),Ecuador,55.0,False,False
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,Ecuador,3.0,Forastero (Arriba),Ecuador,70.0,False,False
Ah Cacao,Tabasco,316,2009,Mexico,3.0,Criollo,Mexico,70.0,False,False
Akesson'S (Pralus),"Bali (West), Sukrama Family, Melaya Area",636,2011,Switzerland,3.75,Trinitario,Indonesia,75.0,False,False
Akesson'S (Pralus),"Madagascar, Ambolikapiky P.",502,2010,Switzerland,2.75,Criollo,Madagascar,75.0,False,False
Akesson'S (Pralus),"Monte Alegre, D. Badero",508,2010,Switzerland,2.75,Forastero,Brazil,75.0,False,False
Alain Ducasse,Trinite,1215,2014,France,2.75,Trinitario,Trinidad,65.0,False,False
Alain Ducasse,Vietnam,1215,2014,France,2.75,Trinitario,Vietnam,75.0,False,False
Alain Ducasse,Madagascar,1215,2014,France,3.0,Trinitario,Madagascar,75.0,False,False
Alain Ducasse,Chuao,1061,2013,France,2.5,Trinitario,Venezuela,75.0,False,False
