company,bean_origin_bar,ref,review_year,company_location,rating,bean_type,broad_bean_origin,cocoa_percent_clean,rating_outlier,cocoa_percent_clean_outlier,premium_flag,cocoa_category,brand_avg_rating,brand_tier,origin_avg_rating,origin_score,premium_origin_flag,rating_segment,company_region
A. Morin,Agua Grande,1876,2016,France,3.75,,Sao Tome,63.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.175,58.7,False,Outstanding,Europe
A. Morin,Kpime,1676,2015,France,2.75,,Togo,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.0833333333333335,54.2,False,Average,Europe
A. Morin,Atsane,1676,2015,France,3.0,,Togo,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.0833333333333335,54.2,False,Average,Europe
A. Morin,Akata,1680,2015,France,3.5,,Togo,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.0833333333333335,54.2,False,Good,Europe
A. Morin,Quilla,1704,2015,France,3.5,,Peru,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Good,Europe
A. Morin,Carenero,1315,2014,France,2.75,Criollo,Venezuela,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.2453271028037385,62.3,True,Average,Europe
A. Morin,Cuba,1315,2014,France,3.5,,Cuba,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.25,62.5,True,Good,Europe
A. Morin,Sur Del Lago,1315,2014,France,3.5,Criollo,Venezuela,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.2453271028037385,62.3,True,Good,Europe
A. Morin,Puerto Cabello,1319,2014,France,3.75,Criollo,Venezuela,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.2453271028037385,62.3,True,Outstanding,Europe
A. Morin,Pablino,1319,2014,France,4.0,,Peru,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Outstanding,Europe
A. Morin,Panama,1011,2013,France,2.75,,Panama,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.1785714285714284,58.9,False,Average,Europe
A. Morin,Madagascar,1011,2013,France,3.0,Criollo,Madagascar,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.2655172413793103,63.3,True,Average,Europe
A. Morin,Brazil,1011,2013,France,3.25,,Brazil,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.2844827586206895,64.2,True,Good,Europe
A. Morin,Equateur,1011,2013,France,3.75,,Ecuador,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.134715025906736,56.7,False,Outstanding,Europe
A. Morin,Colombie,1015,2013,France,2.75,,Colombia,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.225,61.3,False,Average,Europe
A. Morin,Birmanie,1015,2013,France,3.0,,Burma,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.0,50.0,False,Average,Europe
A. Morin,Papua New Guinea,1015,2013,France,3.25,,Papua New Guinea,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.2916666666666665,64.6,True,Good,Europe
A. Morin,Chuao,1015,2013,France,4.0,Trinitario,Venezuela,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.2453271028037385,62.3,True,Outstanding,Europe
A. Morin,Piura,1019,2013,France,3.25,,Peru,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Good,Europe
A. Morin,Chanchamayo Province,1019,2013,France,3.5,,Peru,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Good,Europe
A. Morin,Chanchamayo Province,1019,2013,France,4.0,,Peru,63.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Outstanding,Europe
A. Morin,Bolivia,797,2012,France,3.5,,Bolivia,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1973684210526314,59.9,False,Good,Europe
A. Morin,Peru,797,2012,France,3.75,,Peru,63.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1378787878787877,56.9,False,Outstanding,Europe
Acalli,"Chulucanas, El Platanal",1462,2015,USA,3.75,,Peru,70.0,False,False,True,Medium (60-75%),3.75,Elite,3.1378787878787877,56.9,False,Outstanding,North America
Acalli,"Tumbes, Norandino",1470,2015,USA,3.75,Criollo,Peru,70.0,False,False,True,Medium (60-75%),3.75,Elite,3.1378787878787877,56.9,False,Outstanding,North America
Adi,Vanua Levu,705,2011,Fiji,2.75,Trinitario,Fiji,60.0,False,False,False,Medium (60-75%),3.25,Standard,3.125,56.2,False,Average,Other
Adi,"Vanua Levu, Toto-A",705,2011,Fiji,3.25,Trinitario,Fiji,80.0,False,False,False,High (>75%),3.25,Standard,3.125,56.2,False,Good,Other
Adi,Vanua Levu,705,2011,Fiji,3.5,Trinitario,Fiji,88.0,False,False,True,High (>75%),3.25,Standard,3.125,56.2,False,Good,Other
Adi,"Vanua Levu, Ami-Ami-Ca",705,2011,Fiji,3.5,Trinitario,Fiji,72.0,False,False,True,Medium (60-75%),3.25,Standard,3.125,56.2,False,Good,Other
